Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephen Curry,35,18,18,33.4,8.9,18.8,0.476,5.1,11.7,0.431,3.9,7.1,0.551,0.611,6.1,6.6,0.932,0.8,4.2,5.0,4.7,0.7,0.2,3.6,1.8,29.1
2,Klay Thompson,33,19,19,29.8,5.4,13.4,0.406,2.8,7.7,0.361,2.6,5.6,0.467,0.51,2.1,2.4,0.87,0.6,3.2,3.8,2.3,0.4,0.6,2.0,2.3,15.7
3,Andrew Wiggins,28,18,18,27.2,5.1,11.7,0.433,0.9,3.3,0.267,4.2,8.3,0.5,0.471,1.8,3.0,0.593,1.9,2.4,4.4,1.2,0.3,0.4,1.8,2.6,12.8
4,Chris Paul,38,18,7,26.8,3.2,7.9,0.399,1.2,3.6,0.328,2.0,4.4,0.456,0.472,1.4,1.6,0.929,0.3,3.3,3.6,7.3,1.5,0.1,1.1,1.6,8.9
5,Draymond Green,33,12,12,24.5,3.5,7.3,0.483,1.4,3.0,0.472,2.1,4.3,0.49,0.58,1.7,2.0,0.833,1.3,4.3,5.5,5.3,0.5,0.7,2.1,2.8,10.1
6,Kevon Looney,27,20,17,23.2,2.4,4.1,0.585,0.0,0.0,0.0,2.4,4.1,0.585,0.585,1.0,1.4,0.704,2.9,5.8,8.7,2.8,0.8,0.4,1.0,2.8,5.8
7,Dario Šarić,29,20,4,21.7,3.7,8.2,0.454,1.6,4.3,0.376,2.1,3.9,0.538,0.552,1.6,1.9,0.842,1.5,4.4,5.9,2.5,0.7,0.3,1.1,2.4,10.6
8,Jonathan Kuminga,21,19,1,19.8,3.9,8.8,0.449,0.6,2.3,0.25,3.4,6.5,0.52,0.482,2.5,3.7,0.686,0.7,2.3,3.0,1.0,0.5,0.4,1.4,2.3,11.0
9,Moses Moody,21,20,4,18.8,3.2,6.4,0.492,1.2,3.2,0.375,2.0,3.2,0.609,0.586,1.2,1.6,0.742,1.2,2.2,3.4,1.2,0.8,0.3,0.6,1.4,8.7
10,Brandin Podziemski,20,14,0,18.7,2.7,5.9,0.458,1.1,2.4,0.441,1.6,3.5,0.469,0.548,0.8,1.1,0.733,0.9,3.4,4.3,2.2,0.5,0.1,1.0,1.6,7.3
11,Gary Payton II,31,14,0,17.3,2.4,5.1,0.479,0.6,2.0,0.321,1.8,3.1,0.581,0.542,0.4,0.6,0.667,1.1,2.1,3.1,0.9,1.2,0.3,0.6,1.9,5.9
12,Cory Joseph,32,10,0,10.8,0.6,2.5,0.24,0.4,1.8,0.222,0.2,0.7,0.286,0.32,0.4,0.7,0.571,0.2,0.7,0.9,2.1,0.3,0.1,0.5,1.0,2.0
13,Trayce Jackson-Davis,23,13,0,7.8,0.9,1.7,0.545,0.0,0.0,0.0,0.9,1.7,0.545,0.545,1.2,1.9,0.6,0.8,0.9,1.8,0.5,0.2,0.5,0.5,1.4,3.0
14,Gui Santos,21,2,0,6.0,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,1.0,1.0,2.0
15,Jerome Robinson,26,1,0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lester Quinones,23,2,0,4.5,1.0,3.0,0.333,0.5,2.0,0.25,0.5,1.0,0.5,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
